head,relation,tail
TMT212,targets,"colorectal cancer, triple negative breast cancer, nsclc - adenocarcinoma"
TMT212,targets,TNBC
NCT02900664,tests,EGF816
EGF816,has_type,DRUG
EGF816,classified_as,OTHER
EGF816,targets,"colorectal cancer, triple negative breast cancer, nsclc - adenocarcinoma"
EGF816,targets,TNBC
NCT06136884,sponsored_by,A2A Pharmaceuticals Inc.
NCT06136884,has_status,RECRUITING
NCT06136884,tests,AO-252
AO-252,has_type,DRUG
AO-252,classified_as,OTHER
AO-252,targets,high grade serous ovarian cancer
AO-252,targets,endometrial cancer
AO-252,targets,triple negative breast cancer
AO-252,targets,TNBC
NCT01372579,sponsored_by,Northwestern University
NCT01372579,has_status,UNKNOWN
NCT01372579,tests,eribulin mesylate
eribulin mesylate,has_type,DRUG
eribulin mesylate,classified_as,CHEMICAL
eribulin mesylate,targets,stage iiic breast cancer
eribulin mesylate,targets,progesterone receptor-negative breast cancer
eribulin mesylate,targets,her2-negative breast cancer
eribulin mesylate,targets,stage ib breast cancer
eribulin mesylate,targets,stage iiia breast cancer
eribulin mesylate,targets,male breast cancer
eribulin mesylate,targets,estrogen receptor-negative breast cancer
eribulin mesylate,targets,stage ii breast cancer
eribulin mesylate,targets,stage iiib breast cancer
eribulin mesylate,targets,triple-negative breast cancer
eribulin mesylate,targets,stage ia breast cancer
eribulin mesylate,targets,TNBC
NCT01372579,tests,carboplatin
carboplatin,has_type,DRUG
carboplatin,classified_as,CHEMICAL
carboplatin,targets,stage iiic breast cancer
carboplatin,targets,progesterone receptor-negative breast cancer
carboplatin,targets,her2-negative breast cancer
carboplatin,targets,stage ib breast cancer
carboplatin,targets,stage iiia breast cancer
carboplatin,targets,male breast cancer
carboplatin,targets,estrogen receptor-negative breast cancer
carboplatin,targets,stage ii breast cancer
carboplatin,targets,stage iiib breast cancer
carboplatin,targets,triple-negative breast cancer
carboplatin,targets,stage ia breast cancer
carboplatin,targets,TNBC
NCT01372579,tests,biopsy
biopsy,has_type,DRUG
biopsy,classified_as,OTHER
biopsy,targets,stage iiic breast cancer
biopsy,targets,progesterone receptor-negative breast cancer
biopsy,targets,her2-negative breast cancer
biopsy,targets,stage ib breast cancer
biopsy,targets,stage iiia breast cancer
biopsy,targets,male breast cancer
biopsy,targets,estrogen receptor-negative breast cancer
biopsy,targets,stage ii breast cancer
biopsy,targets,stage iiib breast cancer
biopsy,targets,triple-negative breast cancer
biopsy,targets,stage ia breast cancer
biopsy,targets,TNBC
NCT03414684,sponsored_by,Dana-Farber Cancer Institute
NCT03414684,has_status,ACTIVE_NOT_RECRUITING
NCT03414684,tests,Carboplatin
Carboplatin,has_type,DRUG
Carboplatin,classified_as,CHEMICAL
Carboplatin,targets,breast cancer
NCT03414684,tests,Nivolumab
Nivolumab,has_type,DRUG
Nivolumab,classified_as,BIOLOGIC
Nivolumab,targets,breast cancer
NCT05451784,sponsored_by,Fundacio Clinic Barcelona
NCT05451784,has_status,RECRUITING
NCT05451784,tests,PD1+ TILs (NUMARZU-001) product infusion
PD1+ TILs (NUMARZU-001) product infusion,has_type,DRUG
PD1+ TILs (NUMARZU-001) product infusion,classified_as,OTHER
PD1+ TILs (NUMARZU-001) product infusion,targets,metastatic triple-negative breast carcinoma
PD1+ TILs (NUMARZU-001) product infusion,targets,TNBC
NCT05447702,sponsored_by,West China Hospital
NCT05447702,has_status,RECRUITING
NCT05447702,tests,Camrelizumab
Camrelizumab,has_type,DRUG
Camrelizumab,classified_as,BIOLOGIC
Camrelizumab,targets,triple negative breast cancer
Camrelizumab,targets,TNBC
NCT05447702,tests,Apatinib
Apatinib,has_type,DRUG
Apatinib,classified_as,CHEMICAL
Apatinib,targets,triple negative breast cancer
Apatinib,targets,TNBC
NCT05447702,tests,Nab-paclitaxel
Nab-paclitaxel,has_type,DRUG
Nab-paclitaxel,classified_as,CHEMICAL
Nab-paclitaxel,targets,triple negative breast cancer
Nab-paclitaxel,targets,TNBC
NCT05447702,tests,Epirubicin
Epirubicin,has_type,DRUG
Epirubicin,classified_as,OTHER
Epirubicin,targets,triple negative breast cancer
Epirubicin,targets,TNBC
NCT05447702,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
Cyclophosphamide,classified_as,CHEMICAL
Cyclophosphamide,targets,triple negative breast cancer
Cyclophosphamide,targets,TNBC
NCT04877821,sponsored_by,Guangdong Provincial People's Hospital
NCT04877821,has_status,RECRUITING
NCT04877821,tests,Sintilimab
Sintilimab,has_type,DRUG
Sintilimab,classified_as,BIOLOGIC
Sintilimab,targets,triple negative breast cancer
Sintilimab,targets,TNBC
NCT04877821,tests,Anlotinib
Anlotinib,has_type,DRUG
Anlotinib,classified_as,CHEMICAL
Anlotinib,targets,triple negative breast cancer
Anlotinib,targets,TNBC
NCT04877821,tests,Nab paclitaxel
Nab paclitaxel,has_type,DRUG
Nab paclitaxel,classified_as,CHEMICAL
Nab paclitaxel,targets,triple negative breast cancer
Nab paclitaxel,targets,TNBC
NCT04877821,tests,Carboplatin
Carboplatin,has_type,DRUG
Carboplatin,classified_as,CHEMICAL
Carboplatin,targets,triple negative breast cancer
Carboplatin,targets,TNBC
NCT04877821,tests,Epirubicin
Epirubicin,has_type,DRUG
Epirubicin,classified_as,OTHER
Epirubicin,targets,triple negative breast cancer
Epirubicin,targets,TNBC
NCT04877821,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
Cyclophosphamide,classified_as,CHEMICAL
Cyclophosphamide,targets,triple negative breast cancer
Cyclophosphamide,targets,TNBC
NCT06840821,sponsored_by,"Mainline Biosciences (Shanghai) Co., Ltd"
NCT06840821,has_status,RECRUITING
NCT06840821,tests,MB0151 for injection
MB0151 for injection,has_type,DRUG
MB0151 for injection,classified_as,OTHER
MB0151 for injection,targets,advanced solid tumors
NCT03125902,sponsored_by,Hoffmann-La Roche
NCT03125902,has_status,COMPLETED
NCT03125902,tests,"Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody"
"Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody",has_type,DRUG
"Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody",classified_as,BIOLOGIC
"Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody",targets,triple-negative breast cancer
"Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody",targets,TNBC
NCT03125902,tests,Atezolizumab Placebo
Atezolizumab Placebo,has_type,DRUG
Atezolizumab Placebo,classified_as,BIOLOGIC
Atezolizumab Placebo,targets,triple-negative breast cancer
Atezolizumab Placebo,targets,TNBC
NCT03125902,tests,Paclitaxel
Paclitaxel,has_type,DRUG
Paclitaxel,classified_as,CHEMICAL
Paclitaxel,targets,triple-negative breast cancer
Paclitaxel,targets,TNBC
NCT05336721,sponsored_by,"Chipscreen Biosciences, Ltd."
NCT05336721,has_status,TERMINATED
NCT05336721,tests,Chiauranib
Chiauranib,has_type,DRUG
Chiauranib,classified_as,CHEMICAL
Chiauranib,targets,triple-negative breast cancer
Chiauranib,targets,TNBC
NCT05336721,tests,capecitabine
capecitabine,has_type,DRUG
capecitabine,classified_as,CHEMICAL
capecitabine,targets,triple-negative breast cancer
capecitabine,targets,TNBC
NCT03945721,sponsored_by,Massachusetts General Hospital
NCT03945721,has_status,ACTIVE_NOT_RECRUITING
NCT03945721,tests,Niraparib
Niraparib,has_type,DRUG
Niraparib,classified_as,CHEMICAL
Niraparib,targets,residual disease
Niraparib,targets,triple negative breast cancer
Niraparib,targets,TNBC
NCT03945721,tests,Radiation Therapy
Radiation Therapy,has_type,DRUG
Radiation Therapy,classified_as,OTHER
Radiation Therapy,targets,residual disease
Radiation Therapy,targets,triple negative breast cancer
Radiation Therapy,targets,TNBC
NCT04916002,sponsored_by,Regeneron Pharmaceuticals
NCT04916002,has_status,TERMINATED
NCT04916002,tests,vidutolimod
vidutolimod,has_type,DRUG
vidutolimod,classified_as,OTHER
vidutolimod,targets,basal cell carcinoma
vidutolimod,targets,non-small cell lung cancer
vidutolimod,targets,merkel cell carcinoma
vidutolimod,targets,oropharynx squamous cell carcinoma
vidutolimod,targets,triple negative breast cancer
vidutolimod,targets,cutaneous squamous cell carcinoma
vidutolimod,targets,TNBC
NCT04916002,tests,cemiplimab
cemiplimab,has_type,DRUG
cemiplimab,classified_as,BIOLOGIC
cemiplimab,targets,basal cell carcinoma
cemiplimab,targets,non-small cell lung cancer
cemiplimab,targets,merkel cell carcinoma
cemiplimab,targets,oropharynx squamous cell carcinoma
cemiplimab,targets,triple negative breast cancer
cemiplimab,targets,cutaneous squamous cell carcinoma
cemiplimab,targets,TNBC
NCT04067102,sponsored_by,Hebei Medical University Fourth Hospital
NCT04067102,has_status,WITHDRAWN
NCT04067102,tests,Albumin bound (nab)-paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide
Albumin bound (nab)-paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide,has_type,DRUG
Albumin bound (nab)-paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide,classified_as,CHEMICAL
Albumin bound (nab)-paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide,targets,triple negative breast cancer
Albumin bound (nab)-paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide,targets,TNBC
NCT04067102,tests,paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide
paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide,has_type,DRUG
paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide,classified_as,CHEMICAL
paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide,targets,triple negative breast cancer
paclitaxel combined with carboplatin followed by epirubicin and cyclophosphamide,targets,TNBC
NCT04260802,sponsored_by,"Ocellaris Pharma, Inc."
NCT04260802,has_status,RECRUITING
NCT04260802,tests,OC-001
OC-001,has_type,DRUG
OC-001,classified_as,OTHER
OC-001,targets,merkel cell carcinoma
OC-001,targets,metastatic cancer
OC-001,targets,urothelial neoplasm
OC-001,targets,urothelial carcinoma
OC-001,targets,squamous cell carcinoma
OC-001,targets,cancer
OC-001,targets,locally advanced solid tumor
OC-001,targets,cervical cancer
OC-001,targets,hepatocellular carcinoma
OC-001,targets,triple negative breast cancer
OC-001,targets,neoplasms
OC-001,targets,gastric cancer
OC-001,targets,ovarian cancer
OC-001,targets,bladder cancer
OC-001,targets,locally advanced malignant neoplasm
OC-001,targets,renal cell carcinoma
OC-001,targets,squamous cell carcinoma of head and neck
OC-001,targets,sarcoma
OC-001,targets,non small cell lung cancer
OC-001,targets,TNBC
NCT04260802,tests,Drug: OC-001 in Combination with Avelumab
Drug: OC-001 in Combination with Avelumab,has_type,DRUG
Drug: OC-001 in Combination with Avelumab,classified_as,BIOLOGIC
Drug: OC-001 in Combination with Avelumab,targets,merkel cell carcinoma
Drug: OC-001 in Combination with Avelumab,targets,metastatic cancer
Drug: OC-001 in Combination with Avelumab,targets,urothelial neoplasm
Drug: OC-001 in Combination with Avelumab,targets,urothelial carcinoma
Drug: OC-001 in Combination with Avelumab,targets,squamous cell carcinoma
Drug: OC-001 in Combination with Avelumab,targets,cancer
Drug: OC-001 in Combination with Avelumab,targets,locally advanced solid tumor
Drug: OC-001 in Combination with Avelumab,targets,cervical cancer
Drug: OC-001 in Combination with Avelumab,targets,hepatocellular carcinoma
Drug: OC-001 in Combination with Avelumab,targets,triple negative breast cancer
Drug: OC-001 in Combination with Avelumab,targets,neoplasms
Drug: OC-001 in Combination with Avelumab,targets,gastric cancer
Drug: OC-001 in Combination with Avelumab,targets,ovarian cancer
Drug: OC-001 in Combination with Avelumab,targets,bladder cancer
Drug: OC-001 in Combination with Avelumab,targets,locally advanced malignant neoplasm
Drug: OC-001 in Combination with Avelumab,targets,renal cell carcinoma
Drug: OC-001 in Combination with Avelumab,targets,squamous cell carcinoma of head and neck
Drug: OC-001 in Combination with Avelumab,targets,sarcoma
Drug: OC-001 in Combination with Avelumab,targets,non small cell lung cancer
Drug: OC-001 in Combination with Avelumab,targets,TNBC
NCT02876302,sponsored_by,Dana-Farber Cancer Institute
NCT02876302,has_status,ACTIVE_NOT_RECRUITING
NCT02876302,tests,Ruxolitinib
Ruxolitinib,has_type,DRUG
Ruxolitinib,classified_as,CHEMICAL
Ruxolitinib,targets,inflammatory breast cancer (ibc)
NCT02876302,tests,Paclitaxel
Paclitaxel,has_type,DRUG
Paclitaxel,classified_as,CHEMICAL
Paclitaxel,targets,inflammatory breast cancer (ibc)
NCT02876302,tests,Doxorubicin
Doxorubicin,has_type,DRUG
Doxorubicin,classified_as,CHEMICAL
Doxorubicin,targets,inflammatory breast cancer (ibc)
NCT02876302,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
Cyclophosphamide,classified_as,CHEMICAL
Cyclophosphamide,targets,inflammatory breast cancer (ibc)
NCT04927884,sponsored_by,"ImmunityBio, Inc."
NCT04927884,has_status,TERMINATED
NCT04927884,tests,N-803
N-803,has_type,DRUG
N-803,classified_as,OTHER
N-803,targets,advanced triple negative breast cancer
N-803,targets,TNBC
NCT04927884,tests,PD-L1 t-haNK
PD-L1 t-haNK,has_type,DRUG
PD-L1 t-haNK,classified_as,OTHER
PD-L1 t-haNK,targets,advanced triple negative breast cancer
PD-L1 t-haNK,targets,TNBC
NCT04927884,tests,Sacituzumab Govitecan-Hziy
Sacituzumab Govitecan-Hziy,has_type,DRUG
Sacituzumab Govitecan-Hziy,classified_as,BIOLOGIC
Sacituzumab Govitecan-Hziy,targets,advanced triple negative breast cancer
Sacituzumab Govitecan-Hziy,targets,TNBC
NCT04927884,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
Cyclophosphamide,classified_as,CHEMICAL
Cyclophosphamide,targets,advanced triple negative breast cancer
Cyclophosphamide,targets,TNBC
NCT02850302,sponsored_by,Centre Georges Francois Leclerc
NCT02850302,has_status,COMPLETED
NCT02850302,tests,PET with FDG
PET with FDG,has_type,DRUG
PET with FDG,classified_as,OTHER
PET with FDG,targets,breast neoplasms
NCT02850302,tests,Tumor exome analysis
Tumor exome analysis,has_type,DRUG
Tumor exome analysis,classified_as,OTHER
Tumor exome analysis,targets,breast neoplasms
NCT06078384,sponsored_by,UNICANCER
NCT06078384,has_status,RECRUITING
NCT06078384,tests,Pembrolizumab 25 mg/ml
Pembrolizumab 25 mg/ml,has_type,DRUG
Pembrolizumab 25 mg/ml,classified_as,BIOLOGIC
Pembrolizumab 25 mg/ml,targets,triple-negative breast cancer
Pembrolizumab 25 mg/ml,targets,TNBC
NCT06078384,tests,Paclitaxel injection
Paclitaxel injection,has_type,DRUG
Paclitaxel injection,classified_as,CHEMICAL
Paclitaxel injection,targets,triple-negative breast cancer
Paclitaxel injection,targets,TNBC
NCT06014502,sponsored_by,ImmunoGenesis
NCT06014502,has_status,RECRUITING
NCT06014502,tests,IMGS-001
IMGS-001,has_type,DRUG
IMGS-001,classified_as,OTHER
IMGS-001,targets,solid tumor
NCT01147484,sponsored_by,NCIC Clinical Trials Group
NCT01147484,has_status,COMPLETED
NCT01147484,tests,Foretinib
Foretinib,has_type,DRUG
Foretinib,classified_as,CHEMICAL
Foretinib,targets,recurrent breast cancer
NCT06225284,sponsored_by,National Taiwan University Hospital
NCT06225284,has_status,RECRUITING
NCT06225284,tests,Goserelin Acetate 3.6mg、Goserelin Acetate 10.8mg、Leuprolide Acetate 3.75mg、Leuprorelin Acetate 22.5mg、Triptorelin pamoate 11.25mg、Triptorelin pamoate 22.5mg
Goserelin Acetate 3.6mg、Goserelin Acetate 10.8mg、Leuprolide Acetate 3.75mg、Leuprorelin Acetate 22.5mg、Triptorelin pamoate 11.25mg、Triptorelin pamoate 22.5mg,has_type,DRUG
Goserelin Acetate 3.6mg、Goserelin Acetate 10.8mg、Leuprolide Acetate 3.75mg、Leuprorelin Acetate 22.5mg、Triptorelin pamoate 11.25mg、Triptorelin pamoate 22.5mg,classified_as,OTHER
Goserelin Acetate 3.6mg、Goserelin Acetate 10.8mg、Leuprolide Acetate 3.75mg、Leuprorelin Acetate 22.5mg、Triptorelin pamoate 11.25mg、Triptorelin pamoate 22.5mg,targets,premenopausal breast cancer
Goserelin Acetate 3.6mg、Goserelin Acetate 10.8mg、Leuprolide Acetate 3.75mg、Leuprorelin Acetate 22.5mg、Triptorelin pamoate 11.25mg、Triptorelin pamoate 22.5mg,targets,triple negative breast cancer
Goserelin Acetate 3.6mg、Goserelin Acetate 10.8mg、Leuprolide Acetate 3.75mg、Leuprorelin Acetate 22.5mg、Triptorelin pamoate 11.25mg、Triptorelin pamoate 22.5mg,targets,TNBC
NCT06409221,sponsored_by,Concr
NCT06409221,has_status,ENROLLING_BY_INVITATION
NCT06409221,tests,"Non-interventional study, Observational only"
"Non-interventional study, Observational only",has_type,DRUG
"Non-interventional study, Observational only",classified_as,OTHER
"Non-interventional study, Observational only",targets,"cancer, breast"
"Non-interventional study, Observational only",targets,early-stage breast cancer
"Non-interventional study, Observational only",targets,triple negative breast cancer
"Non-interventional study, Observational only",targets,TNBC
NCT03742102,sponsored_by,AstraZeneca
NCT03742102,has_status,ACTIVE_NOT_RECRUITING
NCT03742102,tests,Durvalumab
Durvalumab,has_type,DRUG
Durvalumab,classified_as,BIOLOGIC
Durvalumab,targets,triple negative breast neoplasms
Durvalumab,targets,TNBC
NCT03742102,tests,Capivasertib
Capivasertib,has_type,DRUG
Capivasertib,classified_as,CHEMICAL
Capivasertib,targets,triple negative breast neoplasms
Capivasertib,targets,TNBC
NCT03742102,tests,Oleclumab
Oleclumab,has_type,DRUG
Oleclumab,classified_as,BIOLOGIC
Oleclumab,targets,triple negative breast neoplasms
Oleclumab,targets,TNBC
NCT03742102,tests,Paclitaxel
Paclitaxel,has_type,DRUG
Paclitaxel,classified_as,CHEMICAL
Paclitaxel,targets,triple negative breast neoplasms
Paclitaxel,targets,TNBC
NCT03742102,tests,Trastuzumab deruxtecan
Trastuzumab deruxtecan,has_type,DRUG
Trastuzumab deruxtecan,classified_as,BIOLOGIC
Trastuzumab deruxtecan,targets,triple negative breast neoplasms
Trastuzumab deruxtecan,targets,TNBC
NCT03742102,tests,Datopotamab deruxtecan
Datopotamab deruxtecan,has_type,DRUG
Datopotamab deruxtecan,classified_as,BIOLOGIC
Datopotamab deruxtecan,targets,triple negative breast neoplasms
Datopotamab deruxtecan,targets,TNBC
NCT05741164,sponsored_by,Roswell Park Cancer Institute
NCT05741164,has_status,RECRUITING
NCT05741164,tests,Biopsy
Biopsy,has_type,DRUG
Biopsy,classified_as,OTHER
Biopsy,targets,unresectable triple-negative breast carcinoma
Biopsy,targets,refractory triple-negative breast carcinoma
Biopsy,targets,anatomic stage iv breast cancer ajcc v8
Biopsy,targets,metastatic triple-negative breast carcinoma
Biopsy,targets,anatomic stage iii breast cancer ajcc v8
Biopsy,targets,TNBC
NCT05741164,tests,Biospecimen Collection
Biospecimen Collection,has_type,DRUG
Biospecimen Collection,classified_as,OTHER
Biospecimen Collection,targets,unresectable triple-negative breast carcinoma
Biospecimen Collection,targets,refractory triple-negative breast carcinoma
Biospecimen Collection,targets,anatomic stage iv breast cancer ajcc v8
Biospecimen Collection,targets,metastatic triple-negative breast carcinoma
Biospecimen Collection,targets,anatomic stage iii breast cancer ajcc v8
Biospecimen Collection,targets,TNBC
NCT05741164,tests,Computed Tomography
Computed Tomography,has_type,DRUG
Computed Tomography,classified_as,OTHER
Computed Tomography,targets,unresectable triple-negative breast carcinoma
Computed Tomography,targets,refractory triple-negative breast carcinoma
Computed Tomography,targets,anatomic stage iv breast cancer ajcc v8
Computed Tomography,targets,metastatic triple-negative breast carcinoma
Computed Tomography,targets,anatomic stage iii breast cancer ajcc v8
Computed Tomography,targets,TNBC
NCT05741164,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
Pembrolizumab,classified_as,BIOLOGIC
Pembrolizumab,targets,unresectable triple-negative breast carcinoma
Pembrolizumab,targets,refractory triple-negative breast carcinoma
Pembrolizumab,targets,anatomic stage iv breast cancer ajcc v8
Pembrolizumab,targets,metastatic triple-negative breast carcinoma
Pembrolizumab,targets,anatomic stage iii breast cancer ajcc v8
Pembrolizumab,targets,TNBC
NCT05741164,tests,Propranolol
Propranolol,has_type,DRUG
Propranolol,classified_as,OTHER
Propranolol,targets,unresectable triple-negative breast carcinoma
Propranolol,targets,refractory triple-negative breast carcinoma
Propranolol,targets,anatomic stage iv breast cancer ajcc v8
Propranolol,targets,metastatic triple-negative breast carcinoma
Propranolol,targets,anatomic stage iii breast cancer ajcc v8
Propranolol,targets,TNBC
NCT05741164,tests,Questionnaire Administration
Questionnaire Administration,has_type,DRUG
Questionnaire Administration,classified_as,OTHER
Questionnaire Administration,targets,unresectable triple-negative breast carcinoma
Questionnaire Administration,targets,refractory triple-negative breast carcinoma
Questionnaire Administration,targets,anatomic stage iv breast cancer ajcc v8
Questionnaire Administration,targets,metastatic triple-negative breast carcinoma
Questionnaire Administration,targets,anatomic stage iii breast cancer ajcc v8
Questionnaire Administration,targets,TNBC
NCT06264921,sponsored_by,"NiKang Therapeutics, Inc."
NCT06264921,has_status,ACTIVE_NOT_RECRUITING
NCT06264921,tests,NKT3447
NKT3447,has_type,DRUG
NKT3447,classified_as,OTHER
NKT3447,targets,platinum-resistant ovarian cancer
NKT3447,targets,ovarian carcinoma
NKT3447,targets,endometrial neoplasms
NKT3447,targets,small cell lung carcinoma
NKT3447,targets,ovarian neoplasms
NKT3447,targets,small-cell lung cancer
NKT3447,targets,"solid tumor, adult"
NKT3447,targets,progesterone-receptor-positive breast cancer
NKT3447,targets,endometrial diseases
NKT3447,targets,advanced gastric carcinoma
NKT3447,targets,triple negative breast cancer
NKT3447,targets,advanced ovarian carcinoma
NKT3447,targets,metastatic tumor
NKT3447,targets,gastric cancer
NKT3447,targets,solid tumor
NKT3447,targets,metastatic ovarian carcinoma
NKT3447,targets,advanced solid tumor
NKT3447,targets,platinum-refractory ovarian carcinoma
NKT3447,targets,ovarian cancer
NKT3447,targets,ccne1 amplification
NKT3447,targets,hormone receptor negative breast carcinoma
NKT3447,targets,triple negative breast neoplasms
NKT3447,targets,endometrial cancer
NKT3447,targets,advanced endometrial carcinoma
NKT3447,targets,metastatic gastric cancer
